,incorrect_image_paths,correct_image_paths,correct_identified_image_indicies,incorrect_image_indicies
279,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_38122_m_3812262_se_10_060_20180723_000217.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907513_nw_18_060_20191019_000226.jpg,1267,195
280,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000410.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000410.jpg,231,300
281,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000292.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000292.jpg,209,355
282,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_38122_m_3812262_se_10_060_20180723_000266.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907513_nw_18_060_20191019_000277.jpg,1272,427
283,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_se_16_060_20190707_000326.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907514_ne_18_060_20191019_000339.jpg,332,769
284,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\pa_60cm_2019_39075_m_3907508_nw_18_060_20191015_000256.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907508_nw_18_060_20191015_000266.jpg,1335,116
285,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009139_ne_15_060_20190726_000378.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\ca_060cm_2018_38122_m_3812264_sw_10_060_20180715_000378.jpg,893,796
286,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000383.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000383.jpg,224,324
287,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_38122_m_3812262_se_10_060_20180723_000111.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907513_nw_18_060_20191019_000115.jpg,1263,38
288,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000418.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000418.jpg,233,565
289,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009139_ne_15_060_20190726_000450.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\ca_060cm_2018_38122_m_3812264_sw_10_060_20180715_000450.jpg,918,499
290,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_38122_m_3812262_se_10_060_20180723_000160.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907513_nw_18_060_20191019_000166.jpg,1266,618
291,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000316.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000316.jpg,214,435
292,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000384.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000384.jpg,225,685
293,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000107.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\nj_60cm_2019_39075_m_3907515_ne_18_060_20190726_000107.jpg,663,631
294,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000063.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\nj_60cm_2019_39075_m_3907515_ne_18_060_20190726_000063.jpg,657,3
295,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_se_16_060_20190707_000305.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907514_ne_18_060_20191019_000317.jpg,328,286
296,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000062.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000062.jpg,178,14
297,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008136_sw_17_060_20191119_000218.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907508_ne_18_060_20191014_000227.jpg,641,345
298,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009139_ne_15_060_20190726_000294.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\ca_060cm_2018_38122_m_3812264_sw_10_060_20180715_000294.jpg,867,409
299,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000035.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\nj_60cm_2019_39075_m_3907515_ne_18_060_20190726_000035.jpg,649,627
300,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_se_16_060_20190707_000282.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907514_ne_18_060_20191019_000293.jpg,322,149
301,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000217.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000217.jpg,190,395
302,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000010.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\nj_60cm_2019_39075_m_3907515_ne_18_060_20190726_000010.jpg,646,61
303,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_se_16_060_20190707_000303.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907514_ne_18_060_20191019_000315.jpg,326,702
304,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000042.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\nj_60cm_2019_39075_m_3907515_ne_18_060_20190726_000042.jpg,652,529
305,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000034.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\nj_60cm_2019_39075_m_3907515_ne_18_060_20190726_000034.jpg,648,225
306,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\pa_60cm_2019_39075_m_3907508_nw_18_060_20191015_000420.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907508_nw_18_060_20191015_000437.jpg,1336,570
307,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000334.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000334.jpg,215,720
308,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009139_ne_15_060_20190726_000306.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\ca_060cm_2018_38122_m_3812264_sw_10_060_20180715_000306.jpg,872,126
309,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000108.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\nj_60cm_2019_39075_m_3907515_ne_18_060_20190726_000108.jpg,664,821
310,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000409.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000409.jpg,230,619
311,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009139_ne_15_060_20190726_000305.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\ca_060cm_2018_38122_m_3812264_sw_10_060_20180715_000305.jpg,871,476
312,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009139_ne_15_060_20190726_000255.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\ca_060cm_2018_38122_m_3812264_sw_10_060_20180715_000255.jpg,861,350
313,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000265.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000265.jpg,201,245
314,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000008.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\nj_60cm_2019_39075_m_3907515_ne_18_060_20190726_000008.jpg,644,331
315,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_se_16_060_20190707_000281.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907514_ne_18_060_20191019_000292.jpg,321,628
316,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_38122_m_3812262_se_10_060_20180723_000135.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907513_nw_18_060_20191019_000140.jpg,1265,835
317,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000084.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\nj_60cm_2019_39075_m_3907515_ne_18_060_20190726_000084.jpg,659,522
318,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_se_16_060_20190707_000304.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907514_ne_18_060_20191019_000316.jpg,327,845
319,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009139_ne_15_060_20190726_000451.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\ca_060cm_2018_38122_m_3812264_sw_10_060_20180715_000451.jpg,919,549
320,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009139_ne_15_060_20190726_000426.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\ca_060cm_2018_38122_m_3812264_sw_10_060_20180715_000426.jpg,915,155
321,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_se_16_060_20190707_000353.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907514_ne_18_060_20191019_000367.jpg,339,713
322,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000110.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\nj_60cm_2019_39075_m_3907515_ne_18_060_20190726_000110.jpg,665,531
323,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009139_ne_15_060_20190726_000427.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\ca_060cm_2018_38122_m_3812264_sw_10_060_20180715_000427.jpg,916,444
324,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000260.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000260.jpg,197,71
325,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000360.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000360.jpg,221,684
326,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000236.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000236.jpg,192,291
327,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_se_16_060_20190707_000328.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907514_ne_18_060_20191019_000341.jpg,334,88
328,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\pa_60cm_2019_39075_m_3907508_nw_18_060_20191015_000210.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907508_nw_18_060_20191015_000218.jpg,1329,760
329,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000415.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000415.jpg,232,751
330,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000286.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000286.jpg,205,747
331,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000261.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000261.jpg,198,693
332,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000063.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000063.jpg,179,733
333,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_se_16_060_20190707_000351.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907514_ne_18_060_20191019_000365.jpg,337,370
334,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000086.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\nj_60cm_2019_39075_m_3907515_ne_18_060_20190726_000086.jpg,661,322
335,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_38122_m_3812262_se_10_060_20180723_000245.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907513_nw_18_060_20191019_000255.jpg,1271,160
336,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009139_ne_15_060_20190726_000402.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\ca_060cm_2018_38122_m_3812264_sw_10_060_20180715_000402.jpg,904,204
337,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000266.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000266.jpg,202,98
338,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000085.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\nj_60cm_2019_39075_m_3907515_ne_18_060_20190726_000085.jpg,660,368
339,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000241.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000241.jpg,194,87
340,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000116.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000116.jpg,184,367
341,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_se_17_060_20191129_000311.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Jackson/student_reviewed_images3/chips_positive\pa_60cm_2019_39075_m_3907507_sw_18_060_20191019_000311.jpg,210,28
